FamilyID	Metridia.pacifica<54>	Metridia.lucens<55>	Metridia.longa<56>	Pleuromamma.robusta<57>	Pleuromamma.xiphias<58>	Pleuromamma.abdominalis<59>	Pseudocalanus.sp<60>	Euchaetidae.sp<61>	Calanoides.acutus<62>	Calanoides.carinatus<63>	Neocalanus.cristatus<64>	Neocalanus.flemingeri<65>	Neocalanus.plumchrus<66>	Calanus.hyperboreus<67>	Calanus.propinquus<68>	Calanus.finmarchicus<69>	Calanus.glacialis<70>	Calanus.marshallae<71>	Calanus.helgolandicus<72>	Calanus.sinicus<73>	Calanus.pacificus<74>	Rhincalanus.gigas<75>	Eucalanus.bungii<76>	Eucalanus.hyalinus<77>	Pseudodiaptomus.annandalei<78>	Gigantodiaptomus.amblyodon<79>	Eurytemora.affinis<80>	Eurytemora.carolleeae<81>	Temora.stylifera<82>	Temora.longicornis<83>	Acartia.fossae<84>	Acartia.clausii<85>	Acartia.tonsa<86>	Labidocera.madurae<87>	Tracheliastes.polycolpus<88>	Lepeophtheirus.salmonis<89>	Caligus.confusus<90>	Caligus.clemensi<91>	Caligus.rogercresseyi<92>	Eucyclops.serrulatus<93>	Apocyclops.royi<94>	Lernaea.cyprinacea<95>	Paracyclopina.nana<96>	Oithona.similis<97>	Oithona.nana<98>	Platychelipus.littoralis<99>	Tisbe.furcata<100>	Tigriopus.kingsejongensis<101>	Tigriopus.californicus<102>	Tigriopus.japonicus<103>	Amphibalanus.amphitrite<104>	Penaeus.aztecus<105>	Drosophila.melanogaster<106>	<107>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>	<172>	<173>	<174>	<175>	<176>	<177>	<178>	<179>	<180>	<181>	<182>	<183>	<184>	<185>	<186>	<187>	<188>	<189>	<190>	<191>	<192>	<193>	<194>	<195>	<196>	<197>	<198>	<199>	<200>	<201>	<202>	<203>	<204>	<205>	<206>	<207>	<208>	<209>
OG0000083	19	12	12	11	48	70	14	36	41	34	18	26	22	36	45	42	32	23	11	21	34	16	2	8	10	3	11	10	20	6	6	5	4	5	5	10	11	8	7	21	6	12	6	8	8	15	13	8	10	11	11	1	2	7	8	11	15	14	15	20	44	11	14	21	23	27	34	27	23	24	33	37	34	35	30	29	20	12	7	9	7	9	10	8	10	6	6	5	8	7	9	9	8	10	10	11	12	8	8	12	12	10	10	5	5
OG0000084	21	9	9	2	33	29	14	31	10	20	11	6	11	13	13	12	12	5	3	10	14	40	3	14	20	1	20	21	21	12	27	17	6	12	19	16	14	27	17	7	10	30	19	17	17	14	2	9	8	29	27	10	88	32	25	18	14	12	13	13	25	17	19	18	20	15	15	13	11	9	13	12	11	11	9	11	8	22	12	15	12	17	19	16	16	15	18	13	20	19	17	17	20	17	18	19	11	18	17	13	8	10	14	40	25
OG0000085	6	9	3	3	27	20	26	35	62	43	42	29	16	35	53	37	52	51	18	40	48	35	10	38	4	2	0	0	9	1	2	0	15	2	1	1	5	0	2	4	2	6	12	5	8	13	17	0	3	0	24	2	3	6	6	7	7	6	7	8	18	9	21	29	30	37	47	36	34	26	38	44	42	42	48	40	32	26	24	4	3	2	0	2	3	2	2	3	5	2	2	3	2	7	7	6	4	8	7	9	9	2	2	6	8
OG0000086	11	11	11	6	31	27	21	31	25	37	21	9	31	10	27	40	50	10	7	10	28	16	6	7	19	5	20	8	14	16	19	24	6	17	14	11	14	7	25	0	15	16	14	9	9	8	4	7	10	16	44	1	17	15	14	13	12	11	11	13	23	14	16	21	24	23	28	20	20	19	17	23	25	31	29	21	12	13	8	13	12	14	14	15	15	16	17	15	12	13	12	13	14	10	11	12	9	12	10	8	7	8	11	16	17
OG0000087	26	18	13	22	29	33	6	33	17	23	18	19	13	15	26	30	25	20	18	23	42	33	5	22	6	3	3	3	16	7	4	7	2	9	2	14	18	9	9	8	5	6	11	10	10	20	20	13	12	14	62	34	3	14	13	14	17	17	20	22	28	12	16	17	17	18	19	18	17	16	19	24	27	27	24	30	23	21	16	7	5	6	4	7	9	7	5	5	11	8	12	13	10	12	10	7	7	10	10	16	17	14	13	15	35
OG0000089	18	13	10	4	31	22	15	23	20	31	22	22	24	27	23	35	34	10	12	4	24	17	6	15	22	1	19	16	22	16	8	16	2	21	21	16	9	6	16	1	17	18	15	18	18	16	3	15	15	16	20	1	18	15	15	14	13	12	14	12	21	15	16	19	19	22	24	23	23	23	24	23	23	27	23	19	11	15	12	14	12	16	17	17	18	16	11	9	15	16	14	11	11	14	14	14	11	15	17	13	10	13	15	15	12
OG0000091	22	17	32	17	29	27	34	35	25	46	28	24	27	45	25	35	31	25	12	25	30	22	10	17	10	13	9	9	23	4	7	7	3	7	4	1	5	7	4	11	3	5	6	7	7	18	13	9	9	10	3	0	0	4	6	13	18	23	21	20	25	15	20	27	32	30	33	31	28	26	35	29	29	31	29	27	21	19	15	12	12	10	9	9	10	7	6	5	6	4	3	4	5	8	7	6	6	7	7	12	12	10	10	2	2
OG0000092	19	22	17	29	44	62	51	40	33	12	8	12	6	10	52	37	17	35	20	25	40	9	6	5	3	4	4	5	9	6	19	24	31	3	5	1	2	1	0	9	6	2	7	10	8	12	30	13	10	11	0	3	0	4	6	11	19	19	20	30	44	10	13	22	37	19	20	16	11	10	18	33	32	32	28	32	25	9	6	6	4	6	5	7	7	8	16	23	6	4	2	2	1	8	7	5	6	7	8	12	17	14	12	2	2
OG0000093	31	19	20	6	28	18	19	34	33	28	35	72	38	41	37	42	79	15	15	18	29	15	9	24	8	3	7	13	8	6	5	8	0	8	2	4	7	5	4	1	3	6	3	3	3	6	1	4	5	5	8	1	3	5	6	10	13	18	22	12	19	11	16	23	25	29	30	35	39	48	37	36	34	39	41	27	20	16	16	8	6	8	9	7	7	7	5	4	4	3	4	5	5	4	4	4	3	3	3	4	3	4	5	4	4
OG0000094	17	28	16	15	29	36	21	53	58	27	24	48	22	35	17	13	39	37	6	16	49	33	7	13	14	7	9	7	7	5	7	5	3	6	2	9	7	5	5	10	1	15	3	4	3	12	7	3	4	3	5	9	6	8	9	13	16	17	20	19	28	14	21	28	32	31	37	29	28	31	29	23	25	23	33	28	16	22	13	10	10	8	8	7	6	6	6	5	7	5	6	6	5	7	6	8	6	4	4	8	6	4	4	7	7
